=== bebygdSamferdsel ===
Nr | arealdekkeNiva2                         | arealbrukLandHovedklasse | arealbrukLandUnderklasse | grunnforhold     | Count
 7 | skogBarblanding                         | IdrettsOmr               | Skytebane                | grunnlendt       | 2
 8 | skogBarblanding                         | IdrettsOmr               | Skytebane                | jorddekt         | 9
 9 | skogBarblanding                         | ikkeRegistrert           | ikkeRegistrert           | blokkmark        | 19
10 | skogBarblanding                         | ikkeRegistrert           | ikkeRegistrert           | fjellIDagen      | 352
11 | skogBarblanding                         | ikkeRegistrert           | ikkeRegistrert           | grunnlendt       | 9565
12 | skogBarblanding                         | ikkeRegistrert           | ikkeRegistrert           | jorddekt         | 21588
13 | skogBarblanding                         | ikkeRegistrert           | ikkeRegistrert           | organiskeJordlag | 369
14 | skogBlanding                            | GroenneOmr               | GravUrnelund             | jorddekt         | 3
15 | skogBlanding                            | GroenneOmr               | Lekeplass                | grunnlendt       | 1
16 | skogBlanding                            | GroenneOmr               | Lekeplass                | jorddekt         | 5
17 | skogBlanding                            | GroenneOmr               | Park                     | jorddekt         | 2
18 | skogBlanding                            | IdrettsOmr               | Alpinanlegg              | grunnlendt       | 1
19 | skogBlanding                            | IdrettsOmr               | Alpinanlegg              | jorddekt         | 15
20 | skogBlanding                            | IdrettsOmr               | Golfanlegg               | jorddekt         | 23
21 | skogBlanding                            | IdrettsOmr               | Skytebane                | jorddekt         | 4
22 | skogBlanding                            | ikkeRegistrert           | ikkeRegistrert           | blokkmark        | 30
23 | skogBlanding                            | ikkeRegistrert           | ikkeRegistrert           | fjellIDagen      | 190
24 | skogBlanding                            | ikkeRegistrert           | ikkeRegistrert           | grunnlendt       | 4807
25 | skogBlanding                            | ikkeRegistrert           | ikkeRegistrert           | jorddekt         | 16590
26 | skogBlanding                            | ikkeRegistrert           | ikkeRegistrert           | organiskeJordlag | 175
27 | skogFuru                                | GroenneOmr               | GravUrnelund             | grunnlendt       | 1
28 | skogFuru                                | GroenneOmr               | GravUrnelund             | jorddekt         | 1
29 | skogFuru                                | GroenneOmr               | Lekeplass                | fjellIDagen      | 1
30 | skogFuru                                | GroenneOmr               | Lekeplass                | grunnlendt       | 13
31 | skogFuru                                | GroenneOmr               | Lekeplass                | jorddekt         | 21
32 | skogFuru                                | GroenneOmr               | Park                     | jorddekt         | 12
33 | skogFuru                                | IdrettsOmr               | Alpinanlegg              | grunnlendt       | 31
34 | skogFuru                                | IdrettsOmr               | Alpinanlegg              | jorddekt         | 57
35 | skogFuru                                | IdrettsOmr               | Golfanlegg               | jorddekt         | 63
36 | skogFuru                                | IdrettsOmr               | Skytebane                | fjellIDagen      | 1
37 | skogFuru                                | IdrettsOmr               | Skytebane                | grunnlendt       | 18
38 | skogFuru                                | IdrettsOmr               | Skytebane                | jorddekt         | 61
39 | skogFuru                                | IdrettsOmr               | Skytebane                | organiskeJordlag | 2
40 | skogFuru                                | ikkeRegistrert           | ikkeRegistrert           | blokkmark        | 208
41 | skogFuru                                | ikkeRegistrert           | ikkeRegistrert           | fjellIDagen      | 4616
42 | skogFuru                                | ikkeRegistrert           | ikkeRegistrert           | grunnlendt       | 68994
43 | skogFuru                                | ikkeRegistrert           | ikkeRegistrert           | jorddekt         | 96649
44 | skogFuru                                | ikkeRegistrert           | ikkeRegistrert           | organiskeJordlag | 1991
45 | skogGran                                | GroenneOmr               | Lekeplass                | jorddekt         | 2
46 | skogGran                                | GroenneOmr               | Park                     | jorddekt         | 1
47 | skogGran                                | IdrettsOmr               | Alpinanlegg              | grunnlendt       | 34
48 | skogGran                                | IdrettsOmr               | Alpinanlegg              | jorddekt         | 131
49 | skogGran                                | IdrettsOmr               | Golfanlegg               | jorddekt         | 32
50 | skogGran                                | IdrettsOmr               | Skytebane                | grunnlendt       | 5
51 | skogGran                                | IdrettsOmr               | Skytebane                | jorddekt         | 14
