arealdekkeniva2,arealbruklandhovedklasse,arealbruklandunderklasse,grunnforhold,ny_arealdekke,fremkommelighet
snaumarkSkrinn,GroenneOmr,Lekeplass,Fjell_i_dagen,Snaumark,Fjell_i_dagen
snaumarkSkrinn,GroenneOmr,Lekeplass,*,Snaumark,None
snaumarkSkrinn,GroenneOmr,*,*,Snaumark,None
snaumarkSkrinn,IdrettsOmr,Alpinanlegg,Fjell_i_dagen,Alpinbakke,Fjell_i_dagen
snaumarkSkrinn,IdrettsOmr,Alpinanlegg,*,Alpinbakke,None
snaumarkSkrinn,IdrettsOmr,Golfanlegg,*,Golfbane,None
snaumarkSkrinn,IdrettsOmr,*,Blokkmark,IdrettsOmr,Blokkmark
snaumarkSkrinn,IdrettsOmr,*,Fjell_i_dagen,IdrettsOmr,Fjell_i_dagen
snaumarkSkrinn,IdrettsOmr,*,*,IdrettsOmr,None
snaumarkSkrinn,*,*,Blokkmark,Snaumark,Blokkmark
snaumarkSkrinn,*,*,Fjell_i_dagen,Snaumark,Fjell_i_dagen
snaumarkSkrinn,*,*,*,Snaumark,None
snaumarkUspesifisert,GroenneOmr,GravUrnelund,*,GravUrnelund,None
snaumarkUspesifisert,GroenneOmr,Lekeplass,Fjell_i_dagen,Snaumark,Fjell_i_dagen
snaumarkUspesifisert,GroenneOmr,Lekeplass,*,Snaumark,None
snaumarkUspesifisert,GroenneOmr,*,Blokkmark,Park,Blokkmark
snaumarkUspesifisert,GroenneOmr,*,Fjell_i_dagen,Park,Fjell_i_dagen
snaumarkUspesifisert,GroenneOmr,*,*,Park,None
snaumarkUspesifisert,IdrettsOmr,Alpinanlegg,Blokkmark,Alpinbakke,Blokkmark
snaumarkUspesifisert,IdrettsOmr,Alpinanlegg,Fjell_i_dagen,Alpinbakke,Fjell_i_dagen
snaumarkUspesifisert,IdrettsOmr,Alpinanlegg,*,Alpinbakke,None
snaumarkUspesifisert,IdrettsOmr,Golfanlegg,Fjell_i_dagen,Golfbane,Fjell_i_dagen
snaumarkUspesifisert,IdrettsOmr,Golfanlegg,*,Golfbane,None
snaumarkUspesifisert,IdrettsOmr,*,Blokkmark,IdrettsOmr,Blokkmark
snaumarkUspesifisert,IdrettsOmr,*,Fjell_i_dagen,IdrettsOmr,Fjell_i_dagen
snaumarkUspesifisert,IdrettsOmr,*,*,IdrettsOmr,None
snaumarkUspesifisert,*,*,Blokkmark,Snaumark,Blokkmark
snaumarkUspesifisert,*,*,Fjell_i_dagen,Snaumark,Fjell_i_dagen
snaumarkUspesifisert,*,*,*,Snaumark,None
snoIsbre,IdrettsOmr,Alpinanlegg,*,Alpinbakke,None
snoIsbre,*,*,*,Snoisbre,None
